timestamp,x,y,z
569038,2.905,-3.15,-0.035
569057,1.855,-3.605,0.0
569077,2.625,-3.22,0.105000004
569096,2.345,-3.3600001,-0.245
569115,2.695,-3.465,0.21000001
569134,-3.15,-2.345,0.175
569154,2.38,-4.76,-0.735
569173,2.205,-4.935,0.07
569192,-1.4350001,-2.205,0.385
569211,1.855,-2.905,0.105000004
569231,-0.14,-5.285,0.42000002
569250,-2.8,-5.11,0.245
569269,-1.61,-4.375,0.385
569288,-0.49,-3.535,0.56
569307,0.735,-3.325,0.42000002
569326,1.96,-3.535,0.385
569345,1.4,-3.535,0.245
569364,1.4,-2.59,0.035
569384,1.715,-2.275,-0.14
569403,3.29,-2.555,0.035
569422,2.275,-3.01,0.175
569441,2.66,-3.115,0.105000004
569460,2.555,-2.66,-0.175
569479,2.17,-3.01,-0.56
569498,1.925,-3.99,-0.315
569517,1.995,-3.92,-0.21000001
569537,1.33,-3.78,-0.455
569556,1.575,-3.815,-0.49
569575,2.555,-3.5,-0.28
569594,2.66,-3.395,-0.385
569614,1.575,-3.78,-0.455
569633,1.155,-3.71,-0.525
569652,1.575,-3.57,-0.455
569671,2.345,-3.64,-0.28
569691,2.975,-3.64,-0.28
569710,2.485,-3.535,-0.35
569729,1.575,-3.395,-0.455
569748,1.365,-3.01,-0.21000001
569768,1.19,-4.025,-0.455
569787,2.24,-3.22,0.105000004
569806,-3.325,-1.05,-0.035
569825,3.045,-3.885,-0.875
569844,1.785,-4.69,0.0
569863,-1.505,-2.345,0.07
569882,2.31,-2.52,-0.21000001
569901,-0.525,-4.27,0.21000001
569921,-3.7450001,-4.375,0.175
569940,-1.75,-3.885,0.455
569959,0.175,-3.43,0.56
569978,0.77,-3.22,0.315
569998,1.085,-3.22,0.175
570017,0.77,-3.15,-0.035
570036,1.19,-3.115,0.035
570055,2.065,-3.08,0.175
570075,2.17,-3.465,0.21000001
570094,1.855,-3.045,0.21000001
570113,2.1,-3.29,0.035
570132,2.94,-3.43,0.0
