timestamp,sample
1022676,-23
1022684,-50
1022692,-73
1022700,-62
1022708,-40
1022716,-41
1022724,-53
1022732,-71
1022740,-104
1022748,-127
1022756,-113
1022764,-74
1022772,-30
1022780,2
1022788,16
1022796,24
1022804,27
1022812,20
1022820,0
1022828,-38
1022836,-88
1022844,-113
1022852,-112
1022860,-100
1022868,-81
1022876,-52
1022884,-14
1022892,21
1022900,55
1022908,68
1022916,63
1022924,53
1022932,50
1022940,43
1022948,8
1022956,-39
1022964,-69
1022972,-65
1022980,-45
1022988,-36
1022996,-40
1023004,-61
1023012,-93
1023020,-110
1023028,-107
1023036,-107
1023044,-123
1023052,-134
1023060,-136
1023068,-142
1023076,-154
1023084,-144
1023092,-111
1023100,-82
1023108,-76
1023116,-64
1023124,-33
1023132,-5
1023140,-1
1023148,-13
1023156,-21
1023164,-20
1023172,-33
1023180,-52
1023188,-27
1023196,13
1023204,-37
1023212,-191
1023220,-92
1023228,611
1023236,1455
1023244,1489
1023252,468
1023260,-752
1023268,-1221
1023276,-943
1023284,-533
1023292,-362
1023300,-282
1023308,-171
1023316,-96
1023324,-61
1023332,-38
1023340,-25
1023348,-21
1023356,-17
1023364,-13
1023372,-8
1023380,1
1023388,22
1023396,44
1023404,51
1023412,46
1023420,42
1023428,42
1023436,34
1023444,22
1023452,8
1023460,-11
1023468,-45
1023476,-88
1023484,-131
1023492,-160
1023500,-188
1023508,-208
1023516,-201
1023524,-169
1023532,-134
1023540,-115
1023548,-113
1023556,-119
1023564,-125
1023572,-123
1023580,-124
1023588,-123
1023596,-118
1023604,-110
1023612,-111
1023620,-122
1023628,-127
1023636,-127
1023644,-138
1023652,-149
1023660,-132
1023668,-91
1023676,-60
1023684,-47
1023692,-49
1023700,-55
1023708,-72
1023716,-90
1023724,-111
1023732,-119
1023740,-129
1023748,-155
1023756,-164
1023764,-151
1023772,-119
1023780,-104
1023788,-99
1023796,-72
1023804,-26
1023812,8
1023820,11
1023828,-10
1023836,-23
1023844,-45
1023852,-72
1023860,-51
1023868,-3
1023876,-36
1023884,-190
1023892,-188
1023900,378
1023908,1230
1023916,1467
1023924,642
1023932,-575
1023940,-1193
1023948,-1004
1023956,-550
1023964,-295
1023972,-204
1023980,-122
1023988,-89
1023996,-112
1024004,-117
1024012,-82
1024020,-22
1024028,13
1024036,11
1024044,-3
1024052,14
1024060,62
1024068,103
1024076,106
1024084,61
1024092,-5
1024100,-37
1024108,-5
1024116,42
1024124,49
1024132,14
1024140,-44
1024148,-122
1024156,-230
1024164,-319
1024172,-325
1024180,-263
1024188,-222
1024196,-224
1024204,-212
1024212,-163
1024220,-93
1024228,2
1024236,93
1024244,102
1024252,-3
1024260,-80
1024268,-12
1024276,107
1024284,125
1024292,68
1024300,71
1024308,123
1024316,103
1024324,8
1024332,-55
1024340,-72
1024348,-115
1024356,-185
1024364,-219
1024372,-210
1024380,-184
1024388,-168
1024396,-146
1024404,-120
1024412,-119
